name,p1 latedays,p1 points,date,times,points,points %,latedays ,bonus,total
aagnihot,0,0,,,,,,,
abhullar,0,96,44997.0,0.817986111,4.0,8.0,0.0,0.0,8.0
adusi,0,96,44992.0,0.506585648,48.0,96.0,-5.0,4.0,100.0
agazda,0,94,44997.0,0.974918981,45.0,90.0,0.0,0.0,90.0
akhorana,0,96,44997.0,0.036921296,47.0,94.0,0.0,0.0,94.0
akute,0,100,44993.0,0.742615741,48.0,96.0,-4.0,4.0,100.0
amelachu,0,100,44996.0,0.679988426,50.0,100.0,-1.0,0.0,100.0
aneema,0,100,44995.0,0.732650463,50.0,100.0,-2.0,0.0,100.0
aravadha,0,80,44997.0,0.901412037,4.0,8.0,0.0,0.0,8.0
bates78,3,30,,,,,,,
brupp,0,100,45000.0,0.999768519,47.0,94.0,3.0,0.0,94.0
burrouj,0,0,,,,,,,
carte215,3,92,,,,,,,
choi493,1,94,44999.0,0.954837963,4.0,8.0,2.0,0.0,8.0
ding256,0,100,45000.0,0.95556713,48.0,96.0,3.0,0.0,96.0
eafalck,0,100,44993.0,0.806759259,46.0,92.0,-4.0,4.0,96.0
edetoled,0,98,44998.0,0.988217593,27.0,54.0,1.0,0.0,54.0
ehli,1,98,45000.0,0.996145833,4.0,8.0,3.0,0.0,8.0
gala0,0,100,44993.0,0.851851852,48.0,96.0,-4.0,4.0,100.0
gupta565,0,96,44998.0,0.983229167,36.0,72.0,1.0,0.0,72.0
harve106,0,78,44994.0,0.630219907,,0.0,-3.0,0.0,0.0
heise4,3,98,44997.0,0.998900463,43.0,86.0,0.0,0.0,86.0
hoang35,0,100,,,,,,,
hsu226,0,100,44997.0,0.993252315,46.0,92.0,0.0,0.0,92.0
ihpatel,0,90,44993.0,0.742523148,20.0,40.0,-4.0,4.0,44.0
jain385,0,100,44993.0,0.91125,48.0,96.0,-4.0,4.0,100.0
jchustak,0,96,45000.0,0.998634259,40.0,80.0,3.0,0.0,80.0
jensen97,0,78,45000.0,0.995729167,4.0,8.0,3.0,0.0,8.0
jpha,0,98,45000.0,0.998391204,30.0,60.0,3.0,0.0,60.0
kang377,0,100,44997.0,0.934768519,46.0,92.0,0.0,0.0,92.0
kim2942,0,98,44993.0,0.525578704,50.0,100.0,-4.0,4.0,104.0
kong98,0,96,44993.0,0.955416667,40.0,80.0,-4.0,4.0,84.0
lee3380,0,74,44993.0,0.794733796,44.0,88.0,-4.0,4.0,92.0
li3327,0,0,44998.0,0.891226852,2.0,4.0,1.0,0.0,4.0
lroswick,0,100,,,,,,,
lu819,0,96,,,,,,,
mason143,0,100,44998.0,0.9215625,43.0,86.0,1.0,0.0,86.0
mccarth,0,98,44997.0,0.974282407,45.0,90.0,0.0,0.0,90.0
mder,0,0,,,,,,,
mdsantia,0,100,45000.0,0.998078704,43.0,86.0,3.0,0.0,86.0
menonk,1,98,44998.0,0.864108796,46.0,92.0,1.0,0.0,92.0
miao29,0,0,44997.0,0.987152778,,0.0,0.0,0.0,0.0
mpietran,0,74,45000.0,0.999270833,39.0,78.0,3.0,0.0,78.0
mtejeda,0,96,44996.0,0.817511574,37.0,74.0,-1.0,0.0,74.0
ndullam,0,98,44997.0,0.835381944,46.0,92.0,0.0,0.0,92.0
nedging,0,0,,,,,,,
rdelliso,0,100,44997.0,0.909641204,44.0,88.0,0.0,0.0,88.0
rnstump,0,98,44999.0,0.991747685,43.0,86.0,2.0,0.0,86.0
sharm390,1,0,45001.0,0.000821759,,0.0,4.0,0.0,0.0
sharm535,2,82,44997.0,0.71380787,,0.0,0.0,0.0,0.0
shaw133,0,88,,,,,,,
singh726,0,98,44993.0,0.841388889,37.0,74.0,-4.0,4.0,78.0
skharban,0,94,44998.0,0.975243056,33.0,66.0,1.0,0.0,66.0
sun1017,0,96,44998.0,0.954884259,40.0,80.0,1.0,0.0,80.0
szapodea,0,94,44999.0,0.814780093,43.0,86.0,2.0,0.0,86.0
tarrs,0,94,,,,,,,
tmattil,0,98,44998.0,0.982326389,43.0,86.0,1.0,0.0,86.0
upadhya4,0,98,44997.0,0.791608796,24.0,48.0,0.0,0.0,48.0
verma119,0,94,44997.0,0.989849537,,0.0,0.0,0.0,0.0
wangej,0,100,44993.0,0.567534722,46.0,92.0,-4.0,4.0,96.0
wu1542,0,100,44997.0,0.869166667,14.0,28.0,0.0,0.0,28.0
yang1800,0,88,45000.0,0.677280093,43.0,86.0,3.0,0.0,86.0
yberg,0,98,44999.0,0.715729167,45.0,90.0,2.0,0.0,90.0
yyegorov,0,98,44994.0,0.835219907,4.0,8.0,-3.0,0.0,8.0
zhan4150,0,98,44997.0,0.754097222,48.0,96.0,0.0,0.0,96.0
zheng547,2,98,,,,,,,
zhou977,0,94,44996.0,0.52681713,44.0,88.0,-1.0,0.0,88.0
zhu862,0,56,45000.0,0.994421296,2.0,4.0,3.0,0.0,4.0
